Vrsta dela,Naslov oglasa,Kraj,Placilo,Prosta mesta,Trajanje,Delovnik,Začetek dela
DELO V PROIZVODNJI,PAKIRANJE,BREZJE,7.0,Brez podatka,22. -30. 9. 2025,DOPOLDAN,22. 9. 2025
PRAVNE STORITVE,ADMINISTRATIVNA DELA,GORNJA RADGONA,8.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
MASKOTA,Brez naslova,KOPER,15.0,Brez podatka,5. 9. 2025,POPOLDAN,5. 9. 2025
POMOČ V KUHINJI,DELO V PRALNICI,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
PROMOCIJA,Brez naslova,JESENICE,8.0,10,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,18. 9. 2025
PROMOCIJA,Brez naslova,KRANJ,8.0,10,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,18. 9. 2025
PROMOCIJA,Brez naslova,RADOVLJICA,8.0,4,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,18. 9. 2025
INVENTURA,Brez naslova,NOVO MESTO,6.32,13,16. 9. 2025,DOPOLDAN,16. 9. 2025
DELO V FARMACIJI,Brez naslova,LJUBLJANA,7.15,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,11. 9. 2025
POMOČ PRI PRODAJI,Brez naslova,LJUBLJANA,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
BLAGAJNIK,POMOČ PRI PRODAJI,LJUBLJANA,6.88,Brez podatka,PO DOGOVORU,IZMENSKO,Brez podatka
BLAGAJNIK,POMOČ PRI PRODAJI,LJUBLJANA,6.88,Brez podatka,PO DOGOVORU,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,MARIBOR LENT,7.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V SKLADIŠČU,VIZUALNA KONTROLA KAKOVOSTI,LJUBLJANA,7.74,2,1 DO 2 DNI,DOPOLDAN,29. 8. 2025
OBDELAVA IN ODPREMA SPLETNIH NAROČIL,Brez naslova,VELENJE,6.88,Brez podatka,PO DOGOVORU,DOPOLDAN,Brez podatka
POMOČ PRI PRODAJI,DELO NA BLAGAJNI,MARIBOR,7.12,Brez podatka,PO DOGOVORU,IZMENSKO,Brez podatka
RAZVOZ,RAZVOZ HRANE,MARIBOR,6.35,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
DELO V PROIZVODNJI,PAKIRANJE,MURSKA SOBOTA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
PAKIRANJE,Brez naslova,CELJE,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
TEHNIČNA POMOČ,KMETIJSKA DELA,TRNOVSKA VAS,10.0,2,PO DOGOVORU,IZMENSKO,Brez podatka
POMOČ V STREŽBI,POMIVALEC,LJUBLJANA,7.0,3,PO DOGOVORU,PO DOGOVORU,Brez podatka
DELO NA RECEPCIJI,Brez naslova,LJUBLJANA,8.0,3,PO DOGOVORU,POPOLDAN,13. 9. 2025
DELO NA BENCINSKEM SERVISU,Brez naslova,KOPER,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,8. 9. 2025
POMOČ PRI PRODAJI,DELO S STRANKAMI,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,15. 9. 2025
POLNJENJE POLIC,Brez naslova,MARIBOR,7.74,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
PRODAJA,PRODAJNI/A SVETOVALEC/KA,BREZOVICA PRI LJUBLJANI,7.56,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
RAZVOZ,RAZVOZ HRANE,LJUBLJANA,8.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,29. 8. 2025
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
PRODAJA,Brez naslova,MARIBOR,6.88,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,8. 9. 2025
POMOČ PRI PRODAJI,IZDAJA BLAGA,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,8. 9. 2025
BLAGAJNIK,ARANŽIRANJE,RADENCI,8.17,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ PRI PRODAJI,Brez naslova,LJUBLJANA,7.31,4,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,1. 10. 2025
POMOČ PRI PRODAJI,DELO V DROGERIJI,CELJE,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2025
DELO V PROIZVODNJI,Brez naslova,KRMELJ,7.0,3,PO DOGOVORU,IZMENSKO,Brez podatka
PRAVNE STORITVE,Brez naslova,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 10. 2025
MIZARSKA DELA,DELO NA TERENU,PODGORA,7.88,Brez podatka,PO DOGOVORU,DOPOLDAN,1. 9. 2025
RAZVOZ,DOSTAVA,PO SLOVENIJI,8.61,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
DELO NA BENCINSKEM SERVISU,DELO V AVTOPRALNICI,BREŽICE,7.12,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
STREŽBA HRANE IN PIJAČE,DELO NA BLAGAJNI,MARIBOR,9.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
POMOČ PRI PRODAJI,Brez naslova,LJUBLJANA,6.32,2,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,2. 9. 2025
PROGRAMIRANJE,DELO Z UMETNO INTELIGENCO,DELO OD DOMA,12.0,Brez podatka,PO DOGOVORU,DOPOLDAN,1. 11. 2025
STREŽBA,Brez naslova,LJUBLJANA,9.5,Brez podatka,PO DOGOVORU,MED VIKENDI,5. 9. 2025
POMOČ PRI PRODAJI,Brez naslova,LJUBLJANA,6.32,2,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,1. 9. 2025
DEGUSTACIJE,Brez naslova,LJUBLJANA,11.62,15,PO DOGOVORU,PO DOGOVORU,Brez podatka
PROMOCIJA,Brez naslova,NOVA GORICA,8.17,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,15. 9. 2025
PRODAJA,Brez naslova,LJUBLJANA,7.5,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
ELEKTROTEHNIČNA DELA,AVTOMATIZACIJA PROCESOV,LJUBLJANA,8.61,Brez podatka,PO DOGOVORU,DOPOLDAN,Brez podatka
DELO V SKLADIŠČU,DOSTAVA,KOPER,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
OBLIKOVANJE,Brez naslova,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,8. 9. 2025
POMOČ V TRGOVINI,Brez naslova,KOPER,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
DELO V SKLADIŠČU,Brez naslova,LJUBLJANA,6.54,Brez podatka,PO DOGOVORU,DOPOLDAN,29. 8. 2025
POMOČ V TRGOVINI,BLAGAJNIK,KAMNIK,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
PROMOCIJA,Brez naslova,MARIBOR,10.0,6,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,8. 9. 2025
POUČEVANJE,Brez naslova,LJUBLJANA,11.0,3,PO DOGOVORU,PO DOGOVORU,15. 9. 2025
DELO Z OTROKI,TRENER/KA,LJUBLJANA,12.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,8. 9. 2025
ČIŠČENJE,Brez naslova,KOPER,10.0,Brez podatka,PO DOGOVORU,DOPOLDAN,1. 9. 2025
POMOČ V TRGOVINI,POLNJENJE POLIC IN BLAGAJNIK,POBEGI,8.0,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
DELO V KUHINJI,Brez naslova,BOROVNICA,7.74,Brez podatka,PO DOGOVORU,PO DOGOVORU,3. 9. 2025
STREŽBA,BARMAN,LJUBLJANA,8.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ PRI PRODAJI,BLAGAJNIK,MARIBOR,6.32,Brez podatka,PO DOGOVORU,PO DOGOVORU,1. 9. 2025
STREŽBA,DELO V KAVARNI,LJUBLJANA,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
LAŽJA FIZIČNA DELA,LEPLJENJE,NOVO MESTO,6.32,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO V PROIZVODNJI,Brez naslova,ANHOVO,7.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
POMOČNIK VZGOJITELJA/VZGOJITELJICE,Brez naslova,LJUBLJANA,8.61,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
DELO V PROIZVODNJI,DELO V PEKARNI,MARIBOR,7.2,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
DELO V SKLADIŠČU,PROCESIRANJE SPLETNIH NAROČIL,RADOMLJE,6.4,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
ZDRAVSTVENA NEGA,Brez naslova,JESENICE,7.92,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
POMOČ V STREŽBI,DELO V SLAŠČIČARNI,LOKEV,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,13. 9. 2025
TELEFONIST,KLICNI CENTER,MARIBOR,6.32,4,PO DOGOVORU,PO DOGOVORU,Brez podatka
TELEFONIST,KLICNI CENTER,LJUBLJANA,6.32,5,PO DOGOVORU,PO DOGOVORU,Brez podatka
POMOČ PRI PRODAJI,Brez naslova,LJUBLJANA,6.32,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,8. 9. 2025
POSPEŠEVANJE PRODAJE,DELO NA TERENU,LJUBLJANA,7.0,Brez podatka,PO DOGOVORU,PO DOGOVORU,9. 9. 2025
